"","title","survived","age","pclass","sibsp","parch","family_size","child","sex","deck"
"193","Mr","0","40","1","0","0","0","Adult","Male","A"
"1160","Mrs","0","26","3","0","0","0","Adult","Female","B"
"735","Miss","0","1.5","2","0","1","2","Child","Female","B"
"1149","Mr","1","27","3","0","0","0","Adult","Male","A"
"839","Mr","0","28","2","1","0","2","Adult","Male","C"
"1048","Mrs","1","42","3","0","0","0","Adult","Female","B"
"824","Nobleman","0","10","2","0","1","2","Child","Male","D"
"742","Miss","0","1.5","2","2","2","6","Child","Female","D"
"169","Mr","0","43","1","0","0","0","Adult","Male","D"
"739","Nobleman","1","4","2","2","3","6","Child","Male","D"
"255","Mr","1","31","1","0","0","0","Adult","Male","B"
"526","Mr","0","25","2","0","0","0","Adult","Male","D"
"914","Mr","1","40","3","2","0","3","Adult","Male","B"
"524","Mrs","1","34","2","0","0","0","Adult","Female","B"
"170","Mr","1","60","1","0","0","0","Adult","Male","D"
"469","Mr","1","39","2","0","0","0","Adult","Male","C"
"1161","Miss","1","4","3","1","2","4","Child","Female","B"
"636","Mrs","0","33","2","0","0","0","Adult","Female","C"
"847","Mr","0","27","2","0","0","0","Adult","Male","B"
"618","Nobleman","1","0.83","2","2","2","5","Child","Male","B"
"802","Mr","0","57","2","1","0","2","Adult","Male","D"
"780","Mrs","0","31","2","1","1","3","Adult","Female","D"
"887","Miss","0","33","2","0","0","0","Adult","Female","B"
"17","Mrs","1","31","1","1","0","2","Adult","Female","D"
"910","Mr","0","45","3","0","0","9","Adult","Male","D"
"682","Mr","1","27","2","0","0","0","Adult","Male","D"
"933","Nobleman","0","1","3","0","1","2","Child","Male","D"
"224","Mrs","0","59","1","1","0","2","Adult","Female","B"
"989","Mrs","1","52","3","0","0","0","Adult","Female","B"
"436","Mr","1","31","2","0","0","0","Adult","Male","D"
"945","Mr","1","31","3","0","0","0","Adult","Male","B"
"1112","Mr","0","31","3","0","0","0","Adult","Male","B"
"513","Mr","0","35","2","1","0","2","Adult","Male","B"
"737","Mr","0","21","2","0","0","0","Adult","Male","B"
"605","Mr","0","60","2","1","0","2","Adult","Male","E"
"386","Mr","0","41","2","1","0","2","Adult","Male","C"
"984","Mr","0","29","3","0","0","0","Adult","Male","A"
"853","Mr","1","28","2","1","3","5","Adult","Male","D"
"753","Miss","0","34","2","0","0","0","Adult","Female","B"
"1024","Mr","1","52","3","0","0","0","Adult","Male","D"
"1120","Mr","0","28","3","0","0","0","Adult","Male","D"
"360","Mrs","1","41","2","1","0","2","Adult","Female","D"
"1041","Mr","1","31","3","0","0","0","Adult","Male","D"
"731","Mr","0","24","2","0","0","0","Adult","Male","A"
"1086","Mr","1","32","3","0","0","0","Adult","Male","B"
"892","Mr","0","44","3","0","0","3","Adult","Male","B"
"464","Miss","1","24","2","0","0","0","Adult","Female","C"
"835","Mr","0","70","2","0","0","0","Adult","Male","D"
"552","Nobleman","1","7","2","0","1","2","Child","Male","B"
"916","Mr","0","30","3","0","0","0","Adult","Male","B"
"856","Nobleman","1","3","2","2","2","5","Child","Male","D"
"755","Mr","0","28","2","0","0","0","Adult","Male","B"
"1263","Mrs","0","27","3","2","1","3","Adult","Female","D"
"915","Miss","1","29","3","0","0","0","Adult","Female","R"
"338","Mr","1","36","2","0","0","0","Adult","Male","R"
"1020","Mr","0","23","3","0","0","0","Adult","Male","D"
"75","Mrs","0","43","1","0","0","2","Adult","Female","E"
"1169","Mrs","0","29","3","0","1","2","Adult","Female","B"
"546","Mr","0","27","2","0","0","0","Adult","Male","B"
"668","Dr","1","36","2","0","0","0","Adult","Male","B"
"337","Mr","0","21","2","0","0","0","Adult","Male","C"
"1259","Mr","0","45","3","0","0","0","Adult","Male","A"
"211","Mr","1","29","1","0","0","0","Adult","Male","B"
"1115","Mr","0","28","3","0","0","0","Adult","Male","D"
"129","Mr","1","55","1","0","0","0","Adult","Male","B"
"2","Mr","0","46","1","0","1","2","Adult","Male","D"
"392","Mr","0","22","2","1","1","3","Adult","Male","B"
"577","Miss","1","27","2","0","0","0","Adult","Female","B"
"819","Miss","0","30","2","0","0","0","Adult","Female","A"
"743","Mrs","1","39","2","0","0","0","Adult","Female","E"
"479","Mr","0","60","2","0","0","0","Adult","Male","D"
"635","Nobleman","0","7","2","0","0","0","Child","Male","E"
"410","Mr","1","32","2","1","0","2","Adult","Male","D"
"1147","Mr","0","21","3","0","0","0","Adult","Male","B"
"198","Miss","1","30","1","0","1","2","Adult","Female","B"
"975","Mr","1","23","3","0","0","0","Adult","Male","E"
"956","Mr","0","41","3","0","0","0","Adult","Male","D"
"827","Mr","0","21","2","1","1","3","Adult","Male","A"
"895","Mr","0","27","3","0","0","2","Adult","Male","B"
"1150","Mr","0","34","3","0","0","0","Adult","Male","A"
"10","Mr","1","45","1","0","0","0","Adult","Male","A"
"11","Mr","1","50","1","0","0","0","Adult","Male","B"
"904","Mrs","1","25","3","0","2","3","Adult","Female","B"
"266","Mr","1","34","1","0","0","0","Adult","Male","B"
"227","Mr","0","34","1","0","0","0","Adult","Male","A"
"435","Mr","1","26","2","0","0","2","Adult","Male","R"
"649","Mr","0","21","2","0","0","0","Adult","Male","B"
"496","Mr","0","38","2","0","0","0","Adult","Male","B"
"23","Mrs","1","50","1","1","0","2","Adult","Female","B"
"468","Mrs","1","65","2","0","0","0","Adult","Female","C"
"1034","Mrs","0","37","3","1","0","2","Adult","Female","B"
"565","Mrs","0","27","2","0","1","2","Adult","Female","R"
"857","Mrs","0","24","2","1","5","5","Adult","Female","D"
"1063","Mr","1","24","3","0","0","0","Adult","Male","B"
"733","Mrs","0","26","2","1","0","2","Adult","Female","D"
"501","Mr","0","51","2","1","0","2","Adult","Male","C"
"212","Nobleman","1","51","1","0","0","0","Adult","Male","A"
"1116","Mr","0","23","3","0","0","0","Adult","Male","D"
"412","Mrs","1","27","2","1","0","2","Adult","Female","D"
"773","Miss","1","6","2","3","2","7","Child","Female","D"
"826","Mrs","0","62","2","1","0","6","Adult","Female","B"
"1226","Miss","0","10","3","0","1","3","Child","Female","B"
"1139","Mr","0","23","3","0","0","0","Adult","Male","B"
"107","Miss","0","57","1","1","0","2","Adult","Female","B"
"123","Mr","1","29","1","0","0","0","Adult","Male","A"
"775","Mr","0","35","2","1","1","3","Adult","Male","D"
"1085","Mr","0","23","3","0","0","0","Adult","Male","B"
"41","Miss","0","20","1","0","1","3","Adult","Female","B"
"1201","Mr","0","30","3","0","0","0","Adult","Male","E"
"589","Miss","1","11","2","0","1","2","Child","Female","D"
"1071","Miss","1","33","3","0","0","0","Adult","Female","B"
"606","Mrs","0","56","2","1","0","2","Adult","Female","E"
"194","Mr","0","43","1","1","0","2","Adult","Male","B"
"102","Mrs","1","29","1","1","0","2","Adult","Female","B"
"408","Mrs","0","28","2","0","0","0","Adult","Female","B"
"671","Rev","1","32","2","0","0","0","Adult","Male","A"
"970","Mr","0","21","3","0","0","0","Adult","Male","B"
"204","Miss","0","1.5","1","3","2","8","Child","Female","E"
"345","Mr","0","38","2","1","2","4","Adult","Male","A"
"771","Mr","1","27","2","0","0","0","Adult","Male","C"
"1133","Mrs","0","54","3","0","0","0","Adult","Female","A"
"746","Mr","0","26","2","1","0","2","Adult","Male","R"
"683","Mr","0","18","2","0","2","3","Adult","Male","D"
"432","Miss","1","36","2","0","0","0","Adult","Female","B"
"16","Mr","1","42","1","1","0","2","Adult","Male","D"
"711","Miss","0","13","2","0","0","0","Child","Female","D"
"886","Miss","1","37","2","0","0","2","Adult","Female","C"
"796","Mr","1","28","2","1","0","2","Adult","Male","B"
"122","Mr","1","39","1","0","0","0","Adult","Male","B"
"404","Mr","0","47","2","1","0","2","Adult","Male","A"
"130","Dr","1","42","1","0","0","0","Adult","Male","B"
"208","Mr","0","41","1","0","0","0","Adult","Male","E"
"537","Miss","0","37","2","0","0","0","Adult","Female","E"
"230","Miss","1","23","1","0","1","2","Adult","Female","D"
"65","Nobleman","0","14","1","5","2","8","Child","Male","D"
"248","Nobleman","0","1.5","1","0","0","4","Child","Male","D"
"1248","Nobleman","0","0.3","3","5","1","7","Child","Male","D"
"1221","Mrs","0","40","3","1","1","3","Adult","Female","C"
"631","Miss","1","23","2","0","0","0","Adult","Female","D"
"987","Miss","0","24","3","0","0","0","Adult","Female","B"
"1007","Nobleman","0","4","3","2","2","5","Child","Male","D"
"890","Mr","0","36","2","1","0","2","Adult","Male","E"
"769","Rev","1","37","2","0","0","0","Adult","Male","C"
"960","Mr","1","38","3","0","0","0","Adult","Male","B"
"1081","Mr","0","32","3","0","0","0","Adult","Male","B"
"403","Mr","1","31","2","0","0","0","Adult","Male","B"
"889","Mr","0","35","2","0","0","0","Adult","Male","E"
"396","Miss","0","36","2","0","0","0","Adult","Female","E"
"924","Mr","1","36","3","0","0","0","Adult","Male","D"
"697","Mr","1","35","2","0","0","0","Adult","Male","D"
"217","Miss","1","48","1","0","0","3","Adult","Female","D"
"1083","Mrs","0","25","3","0","1","2","Adult","Female","B"
"1135","Miss","1","29","3","0","0","0","Adult","Female","D"
"59","Mrs","0","53","1","0","0","2","Adult","Female","E"
"1164","Mrs","1","29","3","1","2","4","Adult","Female","B"
"275","Miss","1","30","1","0","0","5","Adult","Female","B"
"1264","Mr","0","37","3","0","0","0","Adult","Male","B"
"1209","Mr","1","23","3","0","0","0","Adult","Male","B"
"1210","Mr","0","26","3","0","0","0","Adult","Male","E"
"166","Mrs","0","28","1","1","0","3","Adult","Female","B"
"1050","Mr","0","26","3","0","0","0","Adult","Male","B"
"576","Miss","1","51","2","0","1","2","Adult","Female","C"
"545","Mr","0","28","2","0","0","0","Adult","Male","B"
"525","Mr","0","30","2","0","0","0","Adult","Male","D"
"1132","Mrs","0","26","3","0","1","3","Adult","Female","D"
"720","Nobleman","0","4","2","1","1","3","Child","Male","E"
"1182","Mr","0","26","3","0","0","0","Adult","Male","A"
"569","Miss","0","22","2","1","0","2","Adult","Female","C"
"650","Dr","1","26","2","0","0","0","Adult","Male","A"
"164","Mr","0","44","1","0","0","0","Adult","Male","B"
"800","Mrs","1","31","2","1","1","3","Adult","Female","D"
"30","Mr","1","44","1","0","0","0","Adult","Male","B"
"371","Miss","0","9","2","1","2","5","Child","Female","B"
"1261","Mr","1","32","3","0","0","9","Adult","Male","D"
"1000","Nobleman","0","1.3","3","0","1","2","Child","Male","A"
"988","Mr","0","45","3","0","0","0","Adult","Male","B"
"450","Mr","0","33","2","1","1","3","Adult","Male","D"
"946","Miss","0","28","3","1","0","2","Adult","Female","D"
"1211","Mr","0","27","3","0","0","0","Adult","Male","B"
"152","Miss","1","18","1","0","0","8","Adult","Female","E"
"706","Mrs","0","33","2","1","3","5","Adult","Female","B"
"25","Mr","0","39","1","0","0","0","Adult","Male","D"
"1102","Mr","1","40","3","0","0","0","Adult","Male","B"
"424","Mr","0","32","2","0","0","0","Adult","Male","D"
"425","Mr","0","43","2","0","0","0","Adult","Male","B"
"673","Mr","1","62","2","0","0","0","Adult","Male","E"
"638","Miss","1","25","2","0","0","2","Adult","Female","C"
"718","Mrs","1","32","2","1","1","3","Adult","Female","B"
"210","Mr","0","26","1","0","0","0","Adult","Male","D"
"442","Mrs","1","25","2","1","0","2","Adult","Female","R"
"814","Mrs","0","41","2","0","1","2","Adult","Female","D"
"350","Miss","0","32","2","0","0","0","Adult","Female","D"
"1166","Mrs","0","26","3","2","1","4","Adult","Female","E"
"723","Miss","0","19","2","0","0","0","Adult","Female","E"
"899","Mrs","0","54","3","0","0","0","Adult","Female","B"
"1006","Mr","1","36","3","1","3","5","Adult","Male","E"
"851","Miss","0","29","2","0","1","3","Adult","Female","B"
"1107","Mr","0","29","3","1","1","6","Adult","Male","E"
"280","Mr","0","40","1","0","0","2","Adult","Male","B"
"1178","Mrs","1","32","3","0","0","0","Adult","Female","D"
"228","Mrs","0","27","1","0","0","0","Adult","Female","A"
"850","Miss","0","25","2","0","1","3","Adult","Female","D"
"630","Mrs","0","41","2","0","1","2","Adult","Female","R"
"510","Nobleman","1","10","2","0","1","2","Child","Male","D"
"978","Nobleman","0","10","3","1","2","4","Child","Male","D"
"1258","Mr","1","22","3","0","0","0","Adult","Male","B"
"1045","Miss","1","12","3","1","2","6","Child","Female","D"
"566","Miss","0","2","2","1","1","2","Child","Female","C"
"519","Miss","0","34","2","0","0","0","Adult","Female","R"
"218","Mr","1","41","1","0","0","0","Adult","Male","D"
"828","Mrs","0","21","2","1","1","3","Adult","Female","B"
"770","Mr","0","31","2","0","0","0","Adult","Male","E"
"307","Mrs","1","65","2","0","0","0","Adult","Female","R"
"294","Mr","0","21","2","0","0","0","Adult","Male","B"
"1","Mr","1","19","1","0","1","2","Adult","Male","D"
"628","Mrs","0","38","2","0","1","2","Adult","Female","C"
"937","Nobleman","0","3","3","0","2","3","Child","Male","D"
"549","Miss","0","29","2","0","0","0","Adult","Female","E"
"863","Mrs","0","50","2","0","0","0","Adult","Female","B"
"444","Mr","1","31","2","0","0","0","Adult","Male","A"
"663","Mr","0","45","2","0","0","0","Adult","Male","D"
"50","Mr","0","49","1","0","0","0","Adult","Male","B"
"265","Mr","0","38","1","0","0","0","Adult","Male","B"
"779","Nobleman","0","0.5","2","3","2","7","Child","Male","D"
"1004","Mr","0","29","3","0","0","0","Adult","Male","D"
"431","Mrs","1","29","2","0","2","3","Adult","Female","B"
"866","Mr","0","29","2","1","0","4","Adult","Male","B"
"413","Mr","1","31","2","1","1","3","Adult","Male","D"
"80","Mrs","0","39","1","1","0","2","Adult","Female","B"
"567","Miss","0","8","2","1","1","2","Child","Female","E"
"261","Mr","0","32","1","0","0","0","Adult","Male","D"
"489","Mr","1","32","2","0","0","0","Adult","Male","B"
"202","Military","1","46","1","1","3","8","Adult","Male","E"
"288","Mr","0","60","1","0","0","0","Adult","Male","B"
"871","Mr","1","32","2","0","0","7","Adult","Male","B"
"418","Mr","1","37","2","1","0","2","Adult","Male","R"
"1250","Nobleman","1","10","3","5","1","7","Child","Male","D"
"1013","Mr","0","36","3","0","0","0","Adult","Male","E"
"297","Mrs","0","33","2","0","0","0","Adult","Female","D"
"480","Mr","1","43","2","0","0","0","Adult","Male","R"
"694","Mr","0","27","2","0","0","0","Adult","Male","B"
"740","Nobleman","1","7","2","2","2","6","Child","Male","D"
"391","Mrs","0","30","2","1","0","2","Adult","Female","E"
"252","Mr","0","39","1","0","0","0","Adult","Male","E"
"646","Mrs","1","32","2","0","0","0","Adult","Female","D"
"593","Rev","0","51","2","1","0","2","Adult","Male","A"
"341","Mrs","0","36","2","0","0","0","Adult","Female","D"
"66","Mrs","0","37","1","5","2","8","Adult","Female","D"
"787","Mr","0","19","2","0","0","0","Adult","Male","A"
"229","Mr","0","27","1","0","0","0","Adult","Male","B"
"263","Mr","1","39","1","0","0","0","Adult","Male","B"
"551","Mr","1","25","2","0","0","0","Adult","Male","D"
"1069","Mr","0","28","3","0","0","0","Adult","Male","A"
"641","Mr","1","32","2","0","0","0","Adult","Male","D"
"619","Mrs","1","39","2","1","3","5","Adult","Female","D"
"1199","Mrs","1","28","3","1","0","2","Adult","Female","D"
"448","Miss","0","33","2","0","0","0","Adult","Female","B"
"980","Miss","0","2","3","1","2","4","Child","Female","D"
"891","Mrs","0","33","2","1","0","2","Adult","Female","B"
"455","Miss","1","8","2","1","1","4","Child","Female","E"
"31","Miss","0","24","1","0","0","0","Adult","Female","D"
"192","Mrs","1","23","1","0","0","0","Adult","Female","D"
"276","Mrs","0","49","1","0","0","0","Adult","Female","D"
"627","Military","0","34","2","0","1","2","Adult","Male","A"
"67","Miss","0","10","1","5","2","8","Child","Female","D"
"504","Miss","0","27","2","0","0","0","Adult","Female","D"
"456","Miss","1","10","2","1","1","4","Child","Female","A"
"719","Rev","0","44","2","0","0","0","Adult","Male","C"
"1228","Mrs","0","30","3","0","0","0","Adult","Female","D"
"232","Mr","0","43","1","0","0","2","Adult","Male","B"
"105","Mr","1","31","1","0","0","0","Adult","Male","A"
"943","Mr","1","34","3","1","0","2","Adult","Male","E"
"178","Mr","0","32","1","0","0","0","Adult","Male","E"
"1082","Nobleman","0","5","3","0","1","2","Child","Male","B"
"759","Mr","1","50","2","0","0","0","Adult","Male","E"
"536","Mr","0","58","2","0","0","0","Adult","Male","R"
"1227","Miss","1","25","3","0","0","0","Adult","Female","D"
"1249","Nobleman","0","6","3","5","1","7","Child","Male","B"
"490","Mr","0","18","2","0","0","0","Adult","Male","B"
"481","Mr","0","31 ?","2","0","0","0","Adult","Male","B"
"958","Mr","0","23","3","0","0","0","Adult","Male","B"
"846","Mr","0","39","2","0","0","0","Adult","Male","D"
"756","Miss","0","19","2","0","0","0","Adult","Female","D"
"543","Mr","0","44","2","0","0","0","Adult","Male","B"
"654","Mrs","1","32","2","0","0","0","Adult","Female","B"
"968","Mr","0","18","3","0","0","0","Adult","Male","E"
"1098","Mr","0","20","3","0","0","0","Adult","Male","B"
"507","Mr","0","48","2","0","0","0","Adult","Male","D"
"1087","Mr","0","24","3","0","0","0","Adult","Male","B"
"274","Mr","0","32","1","0","0","3","Adult","Male","D"
"594","Mrs","0","49","2","1","0","2","Adult","Female","B"
"147","Mr","1","36","1","0","0","0","Adult","Male","D"
"8","Miss","0","26","1","0","0","5","Adult","Female","D"
"696","Miss","1","25","2","0","0","0","Adult","Female","B"
"37","Mrs","0","55","1","0","2","3","Adult","Female","D"
"272","Miss","0","36","1","0","0","3","Adult","Female","B"
"186","Mr","0","29","1","0","0","0","Adult","Male","D"
"352","Mrs","1","32","2","0","1","2","Adult","Female","C"
"343","Nobleman","1","0.75","2","0","1","2","Child","Male","E"
"1125","Mr","0","30","3","0","0","0","Adult","Male","D"
"81","Mr","0","21","1","0","0","0","Adult","Male","D"
"812","Mr","1","27","2","0","0","0","Adult","Male","E"
"70","Mr","1","38","1","0","0","0","Adult","Male","E"
"878","Miss","1","31","2","0","0","0","Adult","Female","E"
"1019","Mrs","0","33","3","1","2","4","Adult","Female","D"
"1073","Mr","0","24","3","0","0","0","Adult","Male","E"
"1198","Mr","0","37","3","0","0","0","Adult","Male","B"
"106","Mr","0","33","1","0","0","0","Adult","Male","E"
"267","Mr","1","45","1","0","0","0","Adult","Male","B"
"722","Miss","0","10","2","1","1","3","Child","Female","B"
"298","Mr","1","42","2","0","0","0","Adult","Male","A"
"205","Miss","0","2.5","1","3","2","8","Child","Female","E"
"690","Miss","0","4","2","2","2","5","Child","Female","D"
"1010","Miss","0","0.83","3","2","2","5","Child","Female","B"
"656","Mr","1","36","2","0","0","0","Adult","Male","B"
"679","Mr","0","59","2","1","0","2","Adult","Male","E"
"1253","Miss","0","5","3","5","1","7","Child","Female","D"
"39","Mrs","0","45","1","0","1","2","Adult","Female","A"
"995","Mr","1","32","3","0","0","0","Adult","Male","E"
"467","Mr","0","59","2","0","0","0","Adult","Male","B"
"936","Mr","0","32","3","1","1","3","Adult","Male","B"
"953","Mr","0","38","3","0","0","0","Adult","Male","D"
"1236","Mr","1","48","3","1","0","2","Adult","Male","B"
"258","Mr","1","59","1","0","0","0","Adult","Male","B"
"145","Mrs","1","41","1","1","0","3","Adult","Female","D"
"548","Nobleman","0","1.4","2","0","1","2","Child","Male","D"
"1212","Mr","1","26","3","0","0","0","Adult","Male","D"
"1091","Mrs","0","35","3","0","3","4","Adult","Female","D"
"1061","Mr","0","72","3","0","0","0","Adult","Male","B"
"1207","Mr","1","28","3","0","0","0","Adult","Male","R"
"625","Mr","0","53","2","1","1","3","Adult","Male","D"
"94","Mr","0","47","1","0","0","0","Adult","Male","E"
"1119","Mr","1","30","3","0","0","0","Adult","Male","B"
"1197","Mr","1","29","3","0","0","0","Adult","Male","B"
"754","Mr","1","46","2","0","0","0","Adult","Male","C"
"385","Miss","0","19","2","0","0","0","Adult","Female","E"
"931","Mrs","0","49","3","1","0","2","Adult","Female","B"
"375","Miss","0","39","2","0","0","0","Adult","Female","C"
"669","Mr","0","62","2","0","0","0","Adult","Male","D"
"885","Mr","1","27","2","0","0","2","Adult","Male","B"
"1021","Miss","1","30","3","0","0","0","Adult","Female","B"
"165","Mr","0","30","1","1","0","3","Adult","Male","B"
"610","Mr","0","55","2","1","5","7","Adult","Male","D"
"527","Miss","0","33","2","0","0","2","Adult","Female","B"
"1057","Mr","0","73","3","0","0","0","Adult","Male","B"
"359","Mr","0","41","2","1","0","2","Adult","Male","B"
"365","Mr","0","35","2","0","0","0","Adult","Male","B"
"861","Miss","1","41","2","1","0","2","Adult","Female","E"
"120","Miss","0","24","1","0","0","0","Adult","Female","B"
"291","Mrs","0","26","2","0","0","0","Adult","Female","D"
"1241","Mrs","0","32","3","1","1","3","Adult","Female","B"
"688","Nobleman","0","11","2","2","2","5","Child","Male","A"
"1117","Mr","0","27","3","0","0","0","Adult","Male","E"
"1144","Mr","0","46","3","0","0","0","Adult","Male","E"
"505","Mr","0","63 (51?)","2","1","0","2","Adult","Male","B"
"367","Mrs","1","24","2","0","1","2","Adult","Female","D"
"1189","Mr","0","30","3","0","0","0","Adult","Male","B"
"699","Nobleman","0","8","2","3","1","7","Child","Male","A"
"1194","Mrs","0","28","3","0","0","0","Adult","Female","E"
"1223","Mr","1","28","3","0","0","0","Adult","Male","B"
"486","Nobleman","0","4","2","0","2","3","Child","Male","B"
"1074","Mr","0","32","3","0","0","0","Adult","Male","B"
"246","Military","0","41","1","0","0","0","Adult","Male","A"
"159","Nobleman","0","8","1","1","1","3","Child","Male","D"
"962","Mrs","0","33","3","0","1","2","Adult","Female","B"
"783","Miss","0","0.2","2","0","2","3","Child","Female","C"
"394","Miss","0","0.5","2","0","2","3","Child","Female","A"
"658","Mr","0","44","2","0","0","0","Adult","Male","E"
"1011","Mr","0","30","3","0","0","0","Adult","Male","D"
"56","Mr","1","35","1","0","0","0","Adult","Male","B"
"110","Nobleman","0","5","1","1","2","4","Child","Male","A"
"402","Mrs","0","39","2","1","0","2","Adult","Female","B"
"1035","Mr","0","41","3","0","0","0","Adult","Male","B"
"14","Mrs","0","38","1","1","0","2","Adult","Female","A"
"698","Mrs","1","33","2","1","2","7","Adult","Female","B"
"660","Mr","0","27","2","1","1","4","Adult","Male","E"
"1060","Mr","0","27","3","0","0","0","Adult","Male","D"
"200","Nobleman","1","5","1","3","2","8","Child","Male","E"
"976","Miss","1","34","3","0","0","0","Adult","Female","E"
"319","Mr","0","27","2","0","0","0","Adult","Male","D"
"226","Mr","1","46","1","0","0","0","Adult","Male","D"
"948","Mr","1","50","3","0","0","0","Adult","Male","D"
"1122","Miss","0","24","3","0","0","0","Adult","Female","B"
"378","Mr","0","31","2","1","0","2","Adult","Male","D"
"428","Nobleman","0","6","2","0","2","3","Child","Male","B"
"1012","Mr","1","27","3","0","0","0","Adult","Male","D"
"967","Miss","0","2.5","3","2","2","5","Child","Female","D"
"1246","Mr","0","38","3","0","0","0","Adult","Male","D"
"370","Mrs","0","38","2","1","2","5","Adult","Female","D"
"143","Mr","1","40","1","0","0","2","Adult","Male","B"
"461","Mrs","0","28","2","0","0","2","Adult","Female","C"
"1171","Mr","0","35","3","0","0","0","Adult","Male","B"
"69","Mr","0","39","1","0","0","0","Adult","Male","B"
"1108","Nobleman","0","0.83","3","0","2","6","Child","Male","D"
"423","Mrs","0","52","2","0","0","0","Adult","Female","D"
"1143","Mr","0","22","3","0","0","0","Adult","Male","D"
"701","Mr","1","30","2","0","0","0","Adult","Male","R"
"282","Nobleman","0","3","1","0","2","3","Child","Male","D"
"321","Miss","1","30","2","0","0","0","Adult","Female","R"
"644","Nobleman","0","0.5","2","0","0","0","Child","Male","B"
"57","Miss","1","25","1","1","0","2","Adult","Female","E"
"573","Miss","0","50","2","0","0","2","Adult","Female","B"
"662","Mrs","1","27","2","2","1","4","Adult","Female","E"
"1092","Miss","0","7","3","2","1","4","Child","Female","E"
"109","Mr","0","33","1","1","2","4","Adult","Male","A"
"825","Mr","0","28","2","0","0","0","Adult","Male","D"
"101","Mr","0","29","1","1","0","2","Adult","Male","B"
"465","Mr","0","28","2","0","0","0","Adult","Male","B"
"445","Miss","0","30","2","0","0","3","Adult","Female","B"
"869","Miss","1","21","2","1","0","2","Adult","Female","R"
"996","Mr","1","28","3","1","0","2","Adult","Male","B"
"1260","Mr","0","40","3","0","0","9","Adult","Male","B"
"947","Miss","0","38","3","1","0","2","Adult","Female","B"
"583","Mrs","1","34","2","1","0","2","Adult","Female","B"
"373","Mr","0","43","2","0","0","0","Adult","Male","B"
"139","Mr","1","57","1","0","0","3","Adult","Male","B"
"77","Miss","0","24","1","0","0","0","Adult","Female","A"
"765","Mrs","0","29","2","0","1","2","Adult","Female","E"
"732","Mr","0","26","2","1","0","2","Adult","Male","A"
"749","Miss","0","30","2","1","0","2","Adult","Female","D"
"451","Mrs","1","21","2","1","1","3","Adult","Female","R"
"342","Mr","0","35","2","0","0","0","Adult","Male","C"
