title,survived,age,pclass,sibsp,parch,family_size,child,sex,deck
Miss,0,NA,2,0,0,0,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,21,2,0,0,0,Adult,Male,NA
Miss,0,25,2,0,1,3,Adult,Female,NA
Miss,0,29,2,0,1,3,Adult,Female,NA
Miss,1,34,2,0,0,0,Adult,Female,NA
Mr,1,28,2,1,3,5,Adult,Male,NA
Nobleman,0,0.83,2,2,2,5,Child,Male,NA
Nobleman,0,0.83,2,2,2,5,Child,Male,NA
Nobleman,1,3,2,2,2,5,Child,Male,NA
Mrs,0,24,2,1,5,5,Adult,Female,NA
Mr,0,31,2,0,0,0,Adult,Male,NA
Mr,1,33,2,0,0,0,Adult,Male,NA
Mr,1,25,2,0,0,0,Adult,Male,NA
Miss,1,41,2,1,0,2,Adult,Female,E
Mrs,1,60,2,0,0,0,Adult,Female,R
Mrs,0,50,2,0,0,0,Adult,Female,NA
Miss,1,0.2,2,0,2,4,Child,Female,NA
Mr,1,27,2,2,1,4,Adult,Male,NA
Mr,0,29,2,1,0,4,Adult,Male,NA
Mrs,1,24,2,1,1,4,Adult,Female,NA
Mrs,1,49,2,0,0,0,Adult,Female,NA
Miss,1,21,2,1,0,2,Adult,Female,NA
Miss,1,25,2,1,0,2,Adult,Female,NA
Mr,1,32,2,0,0,7,Adult,Male,NA
Mr,1,NA,2,0,0,0,Adult,Male,NA
Miss,1,24,2,0,0,0,Adult,Female,NA
Mrs,0,55,2,0,0,0,Adult,Female,NA
Mr,1,NA,2,0,0,2,Adult,Male,R
Mrs,1,46,2,0,0,0,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Miss,1,31,2,0,0,0,Adult,Female,NA
Rev,0,59,2,0,0,0,Adult,Female,NA
Mrs,1,49,2,1,0,2,Adult,Female,NA
Mr,0,51,2,1,0,2,Adult,Male,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Mrs,0,56,2,0,0,0,Adult,Female,NA
Mr,1,27,2,0,0,2,Adult,Male,NA
Miss,1,37,2,0,0,2,Adult,Female,NA
Miss,0,NA,2,0,0,0,Adult,Female,NA
Mrs,0,NA,2,0,0,0,Adult,Female,NA
Mr,0,NA,2,0,0,0,Adult,Male,NA
Mr,0,36,2,1,0,2,Adult,Male,NA
Mrs,0,33,2,1,0,2,Adult,Female,NA
Mr,0,NA,3,0,0,3,Adult,Male,NA
Mr,0,NA,3,0,0,3,Adult,Male,NA
Mr,0,NA,3,0,0,3,Adult,Male,NA
Mr,0,27,3,0,0,2,Adult,Male,NA
Mrs,0,27,3,1,0,2,Adult,Female,NA
Mr,1,30,3,1,0,0,Adult,Male,NA
Mr,0,37,3,0,0,0,Adult,Male,NA
Mrs,0,54,3,0,0,0,Adult,Female,NA
Mr,0,39,3,0,0,0,Adult,Male,NA
Mr,0,22,3,0,0,0,Adult,Male,NA
Nobleman,1,3,3,1,1,3,Child,Male,NA
Nobleman,1,4,3,1,1,3,Child,Male,NA
Mrs,1,25,3,0,2,3,Adult,Female,NA
Mr,0,45,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,4,Adult,Male,NA
Mr,1,33,3,0,0,9,Adult,Male,NA
Mr,0,39,3,0,0,9,Adult,Male,NA
Mr,0,45,3,0,0,9,Adult,Male,NA
Mr,0,33,3,0,0,0,Adult,Male,NA
Mr,0,39,3,0,0,0,Adult,Male,NA
Mr,1,28,3,0,0,0,Adult,Male,NA
Mr,1,40,3,2,0,3,Adult,Male,NA
Miss,1,29,3,0,0,0,Adult,Female,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,1,25,3,1,0,2,Adult,Male,NA
Mrs,0,20,3,1,0,2,Adult,Female,NA
Mr,0,38,3,1,2,4,Adult,Male,NA
Nobleman,0,0.4,3,1,2,4,Child,Male,NA
Nobleman,0,4,3,1,2,4,Child,Male,NA
Mrs,0,28,3,2,1,4,Adult,Female,NA
Mr,1,36,3,0,0,0,Adult,Male,NA
Miss,1,30,3,0,0,0,Adult,Female,NA
Mr,0,39,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,0,44,3,0,0,0,Adult,Male,NA
Mr,0,50,3,1,0,2,Adult,Male,NA
Mrs,0,49,3,1,0,2,Adult,Female,NA
Mr,0,42,3,0,0,0,Adult,Male,NA
Nobleman,0,1,3,0,1,2,Child,Male,NA
Mrs,0,29,3,0,1,2,Adult,Female,NA
Mr,1,37,3,0,0,0,Adult,Male,NA
Mr,0,32,3,1,1,3,Adult,Male,NA
Nobleman,0,3,3,0,2,3,Child,Male,NA
Mrs,0,36,3,1,1,3,Adult,Female,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,1,26,3,0,0,0,Adult,Male,NA
Mr,1,28,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,4,Adult,Female,NA
Mr,1,34,3,1,0,2,Adult,Male,NA
Mr,1,35,3,1,0,2,Adult,Male,NA
Mr,1,31,3,0,0,0,Adult,Male,NA
Miss,0,28,3,1,0,2,Adult,Female,NA
Miss,0,38,3,1,0,2,Adult,Female,NA
Mr,1,50,3,0,0,0,Adult,Male,NA
Mr,0,48,3,0,0,0,Adult,Male,NA
Mr,0,38,3,0,0,0,Adult,Male,NA
Miss,0,45,3,0,0,0,Adult,Female,NA
Miss,0,28,3,0,0,0,Adult,Female,NA
Mr,0,38,3,0,0,0,Adult,Male,NA
Mr,0,57,3,0,0,0,Adult,Male,NA
Miss,0,37,3,0,0,0,Adult,Female,NA
Mr,0,41,3,0,0,0,Adult,Male,NA
Mr,0,21,3,0,0,0,Adult,Male,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Mr,0,39,3,0,0,0,Adult,Male,NA
Mr,1,38,3,0,0,0,Adult,Male,NA
Nobleman,0,0.4,3,0,1,2,Child,Male,NA
Mrs,0,33,3,0,1,2,Adult,Female,NA
Mr,0,40,3,2,2,5,Adult,Male,NA
Nobleman,1,0.83,3,2,2,5,Child,Male,NA
Nobleman,1,3,3,2,2,5,Child,Male,NA
Mrs,1,40,3,2,2,5,Adult,Female,NA
Miss,0,2.5,3,2,2,5,Child,Female,NA
Mr,0,18,3,0,0,0,Adult,Male,NA
Miss,1,24,3,0,0,3,Adult,Female,NA
Mr,0,21,3,0,0,0,Adult,Male,NA
Mr,0,47,3,0,0,0,Adult,Male,NA
Miss,0,30,3,1,0,2,Adult,Female,NA
Miss,0,22,3,0,0,0,Adult,Female,NA
Mr,1,48,3,0,0,0,Adult,Male,NA
Mr,1,23,3,0,0,0,Adult,Male,NA
Miss,1,34,3,0,0,0,Adult,Female,NA
Mr,1,31,3,1,2,4,Adult,Male,NA
Nobleman,0,10,3,1,2,4,Child,Male,NA
Mrs,0,33,3,1,2,4,Adult,Female,NA
Miss,0,2,3,1,2,4,Child,Female,NA
Mr,1,41,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,0,Adult,Female,NA
Mr,0,24,3,0,0,0,Adult,Male,NA
Mr,0,29,3,0,0,0,Adult,Male,NA
Dr,0,54,3,0,0,0,Adult,Male,NA
Mr,1,31,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,0,Adult,Female,NA
Mr,0,45,3,0,0,0,Adult,Male,NA
Mrs,1,52,3,0,0,0,Adult,Female,NA
Mrs,1,43,3,0,0,0,Adult,Female,NA
Mr,0,34,3,0,0,0,Adult,Male,NA
Miss,0,34,3,0,0,0,Adult,Female,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,0,35,3,0,0,0,Adult,Male,NA
Mr,1,32,3,0,0,0,Adult,Male,NA
Mr,1,28,3,1,0,2,Adult,Male,NA
Mrs,1,27,3,1,0,2,Adult,Female,NA
Mr,0,29,3,1,0,2,Adult,Male,NA
Mrs,0,34,3,1,0,2,Adult,Female,NA
Nobleman,0,1.3,3,0,1,2,Child,Male,NA
Mrs,0,23,3,0,1,2,Adult,Female,NA
Mr,0,26,3,1,0,2,Adult,Male,NA
Miss,0,22,3,1,0,2,Adult,Female,NA
Mr,0,29,3,0,0,0,Adult,Male,NA
Mr,0,37,3,0,0,0,Adult,Male,NA
Mr,1,36,3,1,3,5,Adult,Male,NA
Nobleman,0,4,3,2,2,5,Child,Male,NA
Nobleman,1,7,3,2,2,5,Child,Male,NA
Mrs,0,36,3,1,3,5,Adult,Female,NA
Miss,0,0.83,3,2,2,5,Child,Female,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mr,0,36,3,0,0,0,Adult,Male,NA
Mr,1,36,3,0,0,0,Adult,Male,NA
Miss,0,23,3,0,0,0,Adult,Female,NA
Mr,0,30,3,1,2,4,Adult,Male,NA
Nobleman,0,0.83,3,1,2,4,Child,Male,NA
Nobleman,0,7,3,1,2,4,Child,Male,NA
Mrs,0,33,3,1,2,4,Adult,Female,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Miss,1,30,3,0,0,0,Adult,Female,NA
Mr,1,NA,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,1,52,3,0,0,0,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mr,1,37,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,0,70,3,0,0,0,Adult,Male,NA
Mr,1,26,3,0,0,0,Adult,Male,NA
Mr,0,36,3,0,0,0,Adult,Male,NA
Mr,1,NA,3,0,0,0,Adult,Male,NA
Mr,0,37,3,1,0,2,Adult,Male,NA
Mrs,0,37,3,1,0,2,Adult,Female,NA
Mr,0,41,3,0,0,0,Adult,Male,NA
Mr,1,24,3,0,0,0,Adult,Male,NA
Mr,0,53,3,0,0,0,Adult,Male,NA
Mr,1,35,3,1,0,2,Adult,Male,NA
Mrs,0,27,3,1,0,2,Adult,Female,NA
Mrs,1,24,3,0,0,0,Adult,Female,NA
Mr,1,31,3,0,0,0,Adult,Male,NA
Miss,1,39,3,0,0,0,Adult,Female,NA
Mr,1,47,3,3,1,6,Adult,Male,NA
Nobleman,1,11,3,1,2,6,Child,Male,NA
Miss,1,12,3,1,2,6,Child,Female,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,36,3,0,0,0,Adult,Male,NA
Mrs,1,42,3,0,0,0,Adult,Female,NA
Mr,0,33,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,0,36,3,0,0,0,Adult,Male,NA
Mr,0,29,3,0,0,0,Adult,Male,NA
Mr,0,34,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mrs,0,67,3,0,0,0,Adult,Female,NA
Miss,1,32,3,0,0,0,Adult,Female,NA
Mr,0,73,3,0,0,0,Adult,Male,NA
Mr,0,36,3,0,0,0,Adult,Male,NA
Mr,1,24,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,72,3,0,0,0,Adult,Male,NA
Mr,0,65,3,0,0,0,Adult,Male,NA
Mr,1,24,3,0,0,0,Adult,Male,NA
Mr,0,33,3,0,0,9,Adult,Male,NA
Mr,0,50,3,0,0,0,Adult,Male,NA
Miss,0,19,3,0,0,0,Adult,Female,NA
Miss,0,32,3,0,0,0,Adult,Female,NA
Miss,1,26,3,0,0,0,Adult,Female,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Miss,0,22,3,0,0,0,Adult,Female,NA
Miss,1,33,3,0,0,0,Adult,Female,NA
Miss,1,30,3,0,0,0,Adult,Female,NA
Mr,0,24,3,0,0,0,Adult,Male,NA
Mr,0,32,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,0,Adult,Female,NA
Mr,0,59,3,0,0,0,Adult,Male,NA
Mr,1,43,3,0,0,0,Adult,Male,NA
Mr,0,25,3,0,0,0,Adult,Male,NA
Mr,0,29,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,0,32,3,0,0,0,Adult,Male,NA
Nobleman,0,5,3,0,1,2,Child,Male,NA
Mrs,0,25,3,0,1,2,Adult,Female,NA
Mr,0,44,3,0,0,0,Adult,Male,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Mr,1,32,3,0,0,0,Adult,Male,NA
Mr,0,24,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Nobleman,0,11,3,0,3,4,Child,Male,NA
Mrs,0,35,3,0,3,4,Adult,Female,NA
Miss,0,7,3,2,1,4,Child,Female,NA
Nobleman,0,0.83,3,0,1,2,Child,Male,NA
Mrs,1,27,3,0,1,2,Adult,Female,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Mr,0,21,3,0,0,0,Adult,Male,NA
Mr,0,32,3,0,0,0,Adult,Male,NA
Mr,0,20,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,0,39,3,0,0,0,Adult,Male,NA
Miss,0,26,3,0,0,0,Adult,Female,NA
Mr,1,40,3,0,0,0,Adult,Male,NA
Mr,1,34,3,0,0,0,Adult,Male,NA
Mr,0,50,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,1,2,Adult,Female,NA
Mrs,0,50,3,0,1,2,Adult,Female,NA
Mr,0,29,3,1,1,6,Adult,Male,NA
Nobleman,0,0.83,3,0,2,6,Child,Male,NA
Mrs,1,26,3,1,0,6,Adult,Female,NA
Mrs,1,35,3,0,0,0,Adult,Female,NA
Mrs,1,56,3,0,0,0,Adult,Female,NA
Mr,0,31,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mr,1,22,3,0,0,0,Adult,Male,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,1,32,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,1,22,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,0,Adult,Female,NA
Mr,1,35,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mrs,1,46,3,0,0,0,Adult,Female,NA
Mr,1,31,3,0,0,0,Adult,Male,NA
Mr,0,24,3,0,0,0,Adult,Male,NA
Nobleman,0,4.25,3,0,1,3,Child,Male,NA
Mrs,0,26,3,0,1,3,Adult,Female,NA
Mrs,0,NA,3,0,0,0,Adult,Female,NA
Mr,0,22,3,0,0,0,Adult,Male,NA
Miss,1,29,3,0,0,0,Adult,Female,NA
Miss,1,NA,3,0,0,0,Adult,Female,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,23,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,35,3,0,0,9,Adult,Male,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,0,22,3,0,0,0,Adult,Male,NA
Mr,0,46,3,0,0,0,Adult,Male,NA
Mr,0,45,3,0,0,0,Adult,Male,NA
Mr,0,29,3,0,0,0,Adult,Male,NA
Mr,0,21,3,0,0,0,Adult,Male,NA
Mr,1,23,3,0,0,0,Adult,Male,NA
Mr,1,27,3,0,0,0,Adult,Male,NA
Mr,0,34,3,0,0,0,Adult,Male,NA
Mr,1,16,3,0,0,0,Child,Male,NA
Mr,0,40,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,0,38,3,0,0,0,Adult,Male,NA
Mr,1,44,3,0,0,0,Adult,Male,NA
Mr,0,25,3,0,0,0,Adult,Male,NA
Mr,1,34,3,0,0,0,Adult,Male,NA
Miss,1,29,3,0,0,0,Adult,Female,NA
Mr,0,50,3,0,0,0,Adult,Male,NA
Mrs,0,26,3,0,0,0,Adult,Female,NA
Miss,1,4,3,1,2,4,Child,Female,NA
Miss,1,4,3,1,2,4,Child,Female,NA
Mr,1,30,3,1,2,4,Adult,Male,NA
Mrs,1,29,3,1,2,4,Adult,Female,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mrs,0,26,3,2,1,4,Adult,Female,NA
Mr,0,28,3,0,0,9,Adult,Male,NA
Nobleman,1,8,3,0,1,2,Child,Male,NA
Mrs,0,29,3,0,1,2,Adult,Female,NA
Mr,1,29,3,0,0,0,Adult,Male,NA
Mr,0,35,3,0,0,0,Adult,Male,NA
Mr,0,33,3,1,0,2,Adult,Male,NA
Mrs,0,30,3,1,0,2,Adult,Female,NA
Mr,1,37,3,0,0,0,Adult,Male,NA
Mr,1,50,3,0,0,0,Adult,Male,NA
Mr,1,53,3,1,1,3,Adult,Male,NA
Nobleman,1,15,3,1,1,3,Child,Male,NA
Mrs,1,32,3,0,0,0,Adult,Female,NA
Mrs,1,53,3,1,1,3,Adult,Female,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,1,26,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,1,19,3,1,0,2,Adult,Male,NA
Mr,0,21,3,1,0,2,Adult,Male,NA
Mr,0,48,3,0,0,0,Adult,Male,NA
Mr,0,25,3,0,0,0,Adult,Male,NA
Mr,0,32,3,0,0,0,Adult,Male,NA
Mr,1,50,3,0,0,0,Adult,Male,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,1,27,3,1,0,2,Adult,Male,NA
Mrs,1,24,3,1,0,2,Adult,Female,NA
Mr,1,33,3,0,0,0,Adult,Male,NA
Miss,0,24,3,0,0,3,Adult,Female,NA
Mrs,0,28,3,0,0,0,Adult,Female,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,1,30,3,0,0,0,Adult,Male,NA
Mr,1,29,3,0,0,0,Adult,Male,NA
Mr,0,37,3,0,0,0,Adult,Male,NA
Mrs,1,28,3,1,0,2,Adult,Female,NA
Mr,0,22,3,0,0,0,Adult,Male,NA
Mr,0,30,3,0,0,0,Adult,Male,NA
Mr,0,40,3,0,0,0,Adult,Male,NA
Mr,0,46,3,0,0,0,Adult,Male,NA
Mr,1,29,3,0,0,0,Adult,Male,NA
Miss,0,40,3,0,0,0,Adult,Female,NA
Mr,1,23,3,0,0,9,Adult,Male,NA
Mr,1,28,3,0,0,0,Adult,Male,NA
Mr,0,31,3,0,0,0,Adult,Male,NA
Mr,1,23,3,0,0,0,Adult,Male,NA
Mr,0,26,3,0,0,0,Adult,Male,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,1,26,3,0,0,0,Adult,Male,NA
Mr,0,17,3,0,0,0,Child,Male,NA
Mr,0,38,3,0,0,0,Adult,Male,NA
Mr,1,42,3,0,0,0,Adult,Male,NA
Mrs,1,19,3,0,1,2,Adult,Female,NA
Mr,1,21,3,0,1,2,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mr,0,18,3,0,2,3,Adult,Male,NA
Mr,1,40,3,1,1,3,Adult,Male,NA
Mrs,0,40,3,1,1,3,Adult,Female,NA
Mrs,1,25,3,0,0,0,Adult,Female,NA
Mr,1,28,3,0,0,0,Adult,Male,NA
Miss,0,NA,3,0,0,0,Adult,Female,NA
Mrs,0,40,3,0,1,3,Adult,Female,NA
Miss,0,10,3,0,1,3,Child,Female,NA
Miss,1,25,3,0,0,0,Adult,Female,NA
Mrs,0,30,3,0,0,0,Adult,Female,NA
Mr,0,25,3,0,0,0,Adult,Male,NA
Mr,0,19,3,0,0,0,Adult,Male,NA
Mr,0,28,3,0,0,0,Adult,Male,NA
Mr,1,31,3,2,0,3,Adult,Male,NA
Mrs,1,27,3,2,0,3,Adult,Female,NA
Miss,0,22,3,0,0,0,Adult,Female,NA
Mr,0,41,3,0,0,0,Adult,Male,NA
Mr,1,48,3,1,0,2,Adult,Male,NA
Mrs,1,43,3,1,0,2,Adult,Female,NA
Mrs,0,22,3,0,0,0,Adult,Female,NA
Mrs,0,NA,3,0,0,0,Adult,Female,NA
Mr,0,40,3,1,1,3,Adult,Male,NA
Mrs,0,32,3,1,1,3,Adult,Female,NA
Mrs,0,69,3,0,0,0,Adult,Female,NA
Mr,1,34,3,0,0,0,Adult,Male,NA
Miss,1,30,3,0,0,0,Adult,Female,NA
Mr,0,27,3,0,0,0,Adult,Male,NA
Mr,0,38,3,0,0,0,Adult,Male,NA
Mr,0,45,3,0,0,0,Adult,Male,NA
Nobleman,0,0.3,3,5,1,7,Child,Male,NA
Nobleman,0,6,3,5,1,7,Child,Male,NA
Nobleman,1,10,3,5,1,7,Child,Male,NA
Mrs,0,37,3,5,1,7,Adult,Female,NA
Miss,0,4,3,5,1,7,Child,Female,NA
Miss,0,5,3,5,1,7,Child,Female,NA
Miss,1,9,3,5,1,7,Child,Female,NA
Nobleman,0,4,3,1,1,3,Child,Male,NA
Mrs,0,NA,3,0,2,3,Adult,Female,NA
Miss,0,2,3,1,1,3,Child,Female,NA
Mr,1,22,3,0,0,0,Adult,Male,NA
Mr,0,45,3,0,0,0,Adult,Male,NA
Mr,0,40,3,0,0,9,Adult,Male,NA
Mr,1,32,3,0,0,9,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mrs,0,27,3,2,1,3,Adult,Female,NA
Mr,0,37,3,0,0,0,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mr,0,NA,3,0,0,0,Adult,Male,NA
Mr,0,32,3,0,0,0,Adult,Male,NA
